EPIC,DATETIME,BID_OPEN,BID_HIGH,BID_LOW,BID_CLOSE,LTV
GBPUSD,2019-07-26 00:11:00,1.24542,1.24545,1.24521,1.24529,208210.0067
GBPUSD,2019-07-26 00:12:00,1.24531,1.24535,1.24524,1.24532,112059.9976
GBPUSD,2019-07-26 00:13:00,1.24531,1.24532,1.24529,1.24532,65510.0021
GBPUSD,2019-07-26 00:14:00,1.24531,1.24535,1.2453,1.24531,65819.9997
GBPUSD,2019-07-26 00:15:00,1.24531,1.24541,1.24531,1.24534,79099.9985
GBPUSD,2019-07-26 00:16:00,1.24534,1.24546,1.24534,1.24545,79800.0031
GBPUSD,2019-07-26 00:17:00,1.24545,1.24545,1.24538,1.24541,71440.0024
GBPUSD,2019-07-26 00:18:00,1.24541,1.24547,1.2454,1.24541,45360.0006
GBPUSD,2019-07-26 00:19:00,1.24541,1.24544,1.2454,1.24543,62110.0006
GBPUSD,2019-07-26 00:20:00,1.24541,1.24543,1.2454,1.2454,48200.0008
GBPUSD,2019-07-26 00:21:00,1.24542,1.24542,1.2453,1.24532,30989.9998
GBPUSD,2019-07-26 00:22:00,1.24533,1.2455,1.24532,1.24542,44740.0017
GBPUSD,2019-07-26 00:23:00,1.24546,1.24552,1.24543,1.24551,60680.0003
GBPUSD,2019-07-26 00:24:00,1.24552,1.24552,1.2455,1.24552,21219.9993
GBPUSD,2019-07-26 00:25:00,1.24549,1.24551,1.24541,1.24542,73830.0018
GBPUSD,2019-07-26 00:26:00,1.24541,1.24542,1.24539,1.24541,20729.9995
GBPUSD,2019-07-26 00:27:00,1.24541,1.24551,1.24541,1.24551,15010.0002
GBPUSD,2019-07-26 00:28:00,1.24551,1.24551,1.24546,1.24549,23180.0003
GBPUSD,2019-07-26 00:29:00,1.24549,1.24556,1.24549,1.24553,36889.9994
GBPUSD,2019-07-26 00:30:00,1.24551,1.24551,1.2454,1.24541,120589.9963
GBPUSD,2019-07-26 00:31:00,1.24541,1.24543,1.24541,1.24542,32450.0008
GBPUSD,2019-07-26 00:32:00,1.24543,1.24546,1.24542,1.24545,36090.0002
GBPUSD,2019-07-26 00:33:00,1.24546,1.24557,1.24542,1.24556,54279.9988
GBPUSD,2019-07-26 00:34:00,1.24556,1.24561,1.24553,1.24553,54310.0014
GBPUSD,2019-07-26 00:35:00,1.24554,1.24557,1.24552,1.24553,39330.0018
GBPUSD,2019-07-26 00:36:00,1.24556,1.2456,1.24552,1.24559,62720.0012
GBPUSD,2019-07-26 00:37:00,1.24557,1.24561,1.24556,1.24561,53020.0005
GBPUSD,2019-07-26 00:38:00,1.24561,1.24571,1.2456,1.24569,111760.0021
GBPUSD,2019-07-26 00:39:00,1.24571,1.24584,1.24569,1.2458,90629.9973
GBPUSD,2019-07-26 00:40:00,1.24581,1.24591,1.2458,1.24581,72019.9966
GBPUSD,2019-07-26 00:41:00,1.2458,1.2458,1.24563,1.24563,46119.9989
GBPUSD,2019-07-26 00:42:00,1.24564,1.24569,1.24562,1.24569,40909.9998
GBPUSD,2019-07-26 00:43:00,1.24566,1.24566,1.2455,1.24551,131229.9957
GBPUSD,2019-07-26 00:44:00,1.24551,1.24551,1.2455,1.2455,48150.0015
GBPUSD,2019-07-26 00:45:00,1.24551,1.24551,1.2455,1.24551,46830.0018
GBPUSD,2019-07-26 00:46:00,1.24551,1.24551,1.24536,1.24547,118720.0012
GBPUSD,2019-07-26 00:47:00,1.24549,1.24552,1.24545,1.24551,73500
GBPUSD,2019-07-26 00:48:00,1.24549,1.24552,1.24545,1.24548,50430.0003
GBPUSD,2019-07-26 00:49:00,1.24547,1.24551,1.24542,1.24545,111910.0037
GBPUSD,2019-07-26 00:50:00,1.24545,1.24545,1.24531,1.24531,86269.9966
GBPUSD,2019-07-26 00:51:00,1.24531,1.24539,1.24531,1.24534,54349.9985
GBPUSD,2019-07-26 00:52:00,1.24534,1.24535,1.24531,1.24532,54430.0003
GBPUSD,2019-07-26 00:53:00,1.24531,1.24531,1.24524,1.24526,65220.0012
GBPUSD,2019-07-26 00:54:00,1.24526,1.24526,1.24513,1.24524,85709.9991
GBPUSD,2019-07-26 00:55:00,1.24524,1.24524,1.24516,1.24519,49970.0012
GBPUSD,2019-07-26 00:56:00,1.24519,1.24527,1.24519,1.24524,36490.0017
GBPUSD,2019-07-26 00:57:00,1.24524,1.24531,1.24522,1.24531,91250
GBPUSD,2019-07-26 00:58:00,1.24531,1.24531,1.24524,1.24526,98510.0021
GBPUSD,2019-07-26 00:59:00,1.24526,1.24531,1.24526,1.24531,44169.9982
GBPUSD,2019-07-26 01:00:00,1.24531,1.24531,1.24521,1.24531,140649.9939
GBPUSD,2019-07-26 01:01:00,1.24529,1.24537,1.24529,1.24534,58779.9988
GBPUSD,2019-07-26 01:02:00,1.24534,1.24543,1.24532,1.24543,72269.9966
GBPUSD,2019-07-26 01:03:00,1.24542,1.24547,1.24542,1.24542,62319.9997
GBPUSD,2019-07-26 01:04:00,1.24543,1.24546,1.24541,1.24544,47529.9988
GBPUSD,2019-07-26 01:05:00,1.24544,1.24546,1.24542,1.24542,68180.0003
GBPUSD,2019-07-26 01:06:00,1.24541,1.24541,1.24533,1.24536,70069.9997
GBPUSD,2019-07-26 01:07:00,1.24537,1.24541,1.24536,1.24541,46680.0003
GBPUSD,2019-07-26 01:08:00,1.24542,1.24543,1.24542,1.24543,9979.9995
GBPUSD,2019-07-26 01:09:00,1.24543,1.24551,1.24542,1.24544,69319.9997
GBPUSD,2019-07-26 01:10:00,1.24544,1.24551,1.24544,1.24546,25489.9998
GBPUSD,2019-07-26 01:11:00,1.24543,1.24543,1.24536,1.24539,73480.0034
GBPUSD,2019-07-26 01:12:00,1.24539,1.24539,1.24535,1.24537,80610.0006
GBPUSD,2019-07-26 01:13:00,1.24537,1.24537,1.24535,1.24536,41770.0005
